tD,WeD,PD_>100,PD_Lee,PD_Fanchi,PD_Edw.,PD-used,,,Min.,Max.,Diff.,Mean,SD
0,0,#NUM!,#NUM!,#NUM!,0,0,,tD,0,2E+12,2E+12,1.81E+10,1.35E+11
0.01,0.112,-1.898050093,0.076815733,0.100856537,0.108011612,0.108011612,,WeD,0,1.42E+11,1.42E+11,1.34E+09,9.78E+09
0.05,0.278,-1.093331137,0.231437937,0.213537864,0.229967415,0.229967415,,PD,0,14.56661915,14.56661915,4.566805021,2.775188659
0.1,0.404,-0.746757546,0.311134269,0.308052605,0.314154593,0.314154593,,a1,0.8085064,a0,0.82092,,
0.15,0.52,-0.544024992,0.371226727,0.376170386,0.375084097,0.375084097,,a2,0.29302022,a1,-0.000368,,
0.2,0.606,-0.400183956,0.420647636,0.430242257,0.424201757,0.424201757,,a3,0.035264177,a2,0.28908,,
0.25,0.689,-0.288612181,0.46299627,0.47546465,0.465895793,0.465895793,,a4,-0.00140363,a3,0.02882,,
0.3,0.758,-0.197451402,0.500234047,0.514541188,0.502395932,0.502395932,,a5,-0.000477222,,,,
0.4,0.898,-0.053610366,0.56383033,0.580088422,0.56460219,0.56460219,,a6,5.12405E-07,,,,
0.5,1.02,0.05796141,0.617227378,0.634207669,0.616855545,0.616855545,,a7,-2.3033E-10,,,,
0.6,1.14,0.149122188,0.663473194,0.680550101,0.662202052,0.662202052,,a8,-0.002672312,,,,
0.7,1.251,0.226197528,0.70439193,0.721221202,0.702424821,0.702424821,,,,,,,
0.8,1.359,0.292963224,0.741170494,0.757554298,0.738669805,0.738669805,,,,,,,
0.9,1.469,0.351854742,0.774628422,0.790451108,0.771722738,0.771722738,,,,,,,
1,1.569,0.404535,0.805357378,0.820552,0.80214871,0.80214871,,,,,,,
2,2.447,0.75110859,1.025799323,1.034405643,1.022230388,1.022230388,,,,,,,
3,3.202,0.953841144,1.168805074,1.172187109,1.166322837,1.166322837,,,,,,,
